,All stations,All stations,All stations,All stations,All stations
,SH,SE,LT,SUM,ORG
2020-11-21,-0.3829769218106662,-7.1320196808594005,286.65499660267005,279.14,279.14
2020-11-22,-0.14615716872430085,-7.374602503811502,286.6607596725358,279.14,279.14
2020-11-23,-0.9155880823045663,-7.6109570991228,286.66654518142735,278.14,278.14
2020-11-24,-0.7909096296296525,-7.8414434036060925,286.6723530332357,278.03999999999996,278.03999999999996
2020-11-25,-1.6716647242798217,-8.066519023418778,286.6781837476986,276.94,276.94
2020-11-26,0.5426674567901273,-8.286705116760004,286.6840376599699,278.94,278.94
2020-11-27,-0.047360790123434526,-8.502554412580764,286.6899152027042,278.14,278.14
2020-11-28,-0.041223901234559435,-8.714592349413635,286.6958162506482,277.94,277.94
2020-11-29,-0.03845162139913327,-8.923290760310124,286.70174238170927,277.74,277.74
2020-11-30,0.5613127901235089,-9.129006298395439,286.7076935082719,278.14,278.14
2020-12-01,0.7583132181069914,-9.331982882473312,286.7136696643663,278.14,278.14
2020-12-02,2.3526675226337375,-9.532338250676048,286.7196707280423,279.53999999999996,279.53999999999996
2020-12-03,3.1444040164609532,-9.730100599457558,286.7256965829966,280.14,280.14
2020-12-04,1.2334738436213684,-9.925220834272068,286.73174699065066,278.03999999999996,278.03999999999996
2020-12-05,2.4197142386830706,-10.117536121728335,286.7378218830452,279.03999999999996,279.03999999999996
2020-12-06,-1.2971417283950473,-10.306779064536784,286.7439207929318,275.14,275.14
2020-12-07,-1.1174144526748933,-10.492628292581458,286.75004274525634,275.14,275.14
2020-12-08,-2.54145277366257,-10.674734557920715,286.75618733158325,273.53999999999996,273.53999999999996
2020-12-09,-2.769605004115249,-10.85274909248335,286.7623540965986,273.14,273.14
2020-12-10,-1.1022029958847384,-11.026339833131772,286.7685428290165,274.64,274.64
2020-12-11,-1.4395508148148224,-11.195202441077981,286.7747532558928,274.14,274.14
2020-12-12,-3.5819092016461127,-11.359075922502427,286.7809851241485,271.84,271.84
2020-12-13,-1.5294797695473221,-11.517758446398204,286.78723821594554,273.74,273.74
2020-12-14,-1.4824072427983879,-11.671105029514536,286.7935122723129,273.64,273.64
2020-12-15,0.15923897942388976,-11.81904624603959,286.7998072666157,275.14,275.14
2020-12-16,0.8954287407407833,-11.961551663510704,286.80612292276993,275.74,275.74
2020-12-17,1.0261657283950285,-12.098624419176701,286.8124586907817,275.74,275.74
2020-12-18,2.551436115226295,-12.230250263642517,286.8188141484162,277.14,277.14
2020-12-19,1.6711735308641664,-12.356362424690928,286.82518889382675,276.14,276.14
2020-12-20,1.1852886913580392,-12.476871518191103,286.831582826833,275.53999999999996,275.53999999999996
